Class Labels
Acanthosis Nigricans
Acne Conglobata
Acne Keloid
Alopecia Areata
"Arthritis, Psoriatic"
Blister
Cafe-au-Lait Spots
Callosities
Carbuncle
Chloracne
Darier Disease
Dermatitis Herpetiformis
"Dermatitis, Atopic"
"Dermatitis, Exfoliative"
"Dermatitis, Occupational"
"Dermatitis, Perioral"
"Dermatitis, Photoallergic"
"Dermatitis, Phototoxic"
"Dermatitis, Seborrheic"
Dermatomyositis
Ecthyma
"Eczema, Dyshidrotic"
Erysipelas
Erythema Ab Igne
Erythema Chronicum Migrans
Erythema Nodosum
Erythrasma
Foot Ulcer
Fox-Fordyce Disease
Granuloma Annulare
Herpes Labialis
Hidradenitis Suppurativa
Hirsutism
Ichthyosis Vulgaris
"Ichthyosis, X-Linked"
Impetigo
Kaposi Varicelliform Eruption
Keratoacanthoma
"Keratosis, Seborrheic"
Larva Migrans
Lichen Nitidus
Linear IgA Bullous Dermatosis
Livedo Reticularis
Molluscum Contagiosum
"Nails, Ingrown"
Necrobiosis Lipoidica
Necrolytic Migratory Erythema
Onycholysis
Onychomycosis
Pemphigoid Gestationis
"Pemphigoid, Bullous"
"Pemphigus, Benign Familial"
Pityriasis Rosea
Porokeratosis
Porphyria Cutanea Tarda
Port-Wine Stain
Prurigo
Pyoderma Gangrenosum
Radiodermatitis
Scabies
Serum Sickness
Steatocystoma Multiplex
Stevens-Johnson Syndrome
Sunburn
Tinea Pedis
Tinea Versicolor
Tinea cruris
Varicose Ulcer
"Vasculitis, Leukocytoclastic, Cutaneous"
Vitiligo
Xeroderma Pigmentosum
